0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
813,"In one district, there stood four houses, named birdcages; each had four rooms of the following dimensions in feet and inches: Kitchen: 9 ft 5 by 8 ft 11 by 6 ft 6. Scullery: 8 ft 6 by 4 ft 6 by 6 ft 6. Bedroom: 8 ft 5 by 5 ft 10 by 6 ft 3. Bedroom: 8 ft 3 by 8 ft 4 by 6 ft 3.","In einem Bezirk standen 4 Häuser, birdcages (Vogelkäfige) benamst; jedes hatte 4 Zimmer mit den folgenden Dimensionen in Fuß und Zoll: Küche 9,5 x 8,11 x 6,6 Spülkammer 8,6 x 4,60 x 6,6 Schlafzimmer 8,5 x 5,10 x 6,3 Schlafzimmer 8,3 x 8,40 x 6,3 10. Northamptonshire.",4.850377198959624
814,"(10) Northamptonshire Brinworth, Pickford and Floore: in these villages in the winter twenty to thirty men were lounging about the streets from lack of work.","Brixworth, Pitsford und Floore: In diesen Dörfern lungern im Winter 20-30 Mann aus Arbeitsmangel auf den Straßen herum.",2.944110779370125
815,"The farmers do not always till the corn and turnip lands sufficiently, and the landlord has found it best to throw all his farms together into two or three.","Die Pächter bestellen nicht immer hinreichend das Korn- und Wurzelland, und der Landlord hat es passend gefunden, alle seine Pachten in 2 oder 3 zusammenzuwerfen.",2.9153433438107452
816,Hence the shortage of employment.,Daher Mangel an Beschäftigung.,2.5054741293902874
817,"While on one side of the wall the land is crying out to be worked, on the other side the defrauded labourers are casting longing glances at it.","Während von der einen Seite des Grabens das Feld nach Arbeit schreit, werfen ihm die geprellten Arbeiter von der andren Seite sehnsüchtige Blicke zu.",3.3332867179690875
818,"Feverishly over-worked in summer, and half-starved in winter, it is no wonder if they say in their own local dialect, ‘the parson and gentlefolks seem frit to death at them’.","Fieberhaft überarbeitet im Sommer und halbverhungert im Winter, ist es kein Wunder, wenn sie in ihrem eignen Dialekt sagen, daß ""the parson and gentlefolks seem frit to death at them""(168a).",3.2792233828470536
819,"At Floore there are cases, in one bedroom of the smallest size, of couples with four, five, six children; three adults with five children; a couple with grandfather and six children down with scarlet fever, etc. ; in two houses with two bedrooms, two families of eight and nine adults respectively.","Zu Floore Beispiele von Paaren mit 4, 5, 6 Kindern in einer Schlafstube kleinster Ausgabe, ditto 3 Erwachsne mit 5 Kindern, ditto ein Paar mit Großvater und 6 scharlachkranken Kindern etc.; in 2 Häusern mit 2 Schlafstuben 2 Familien von je 8 und 9 Erwachsnen.",3.1427126270407943
820,(11) Wiltshire Stratton.,11. Wiltshire.,inf
821,"Thirty-one houses visited, eight with only one bedroom.","Stratton: 31 Häuser besucht, 8 mit nur einer Schlafstube; Penhill in derselben Pfarrei.",2.994791521924892
822,"Pen Hill, in the same parish: a cot let at Is.",Ein Cot vermietet zu 1 sh.,3.693543289840013
823,"3d. a week with four adults and four children, had nothing good about it, except the walls, from the floor of rough-hewn pieces of stones to the roof of worn-out thatch.","3 d. wöchentlich an 4 Erwachsne und 4 Kinder, hatte außer guten Wänden nichts Gutes an sich, vom Estrich aus rauhgehaunen Steinen bis zum faulen Strohdach.",3.4350481668095725
824,"(12) Worcestershire House-destruction here not quite so excessive; yet from 1851 to 1861, the number of inhabitants to each house, on the average, has risen from 4. to 4.6.","12. Worcestershire. Hauszerstörung hier nicht ganz so arg; doch von 1851-1861 vermehrte sich das Personal per Haus von 4,2 zu 4,6 Individuen.",2.827644121974448
825,Badsey. Many cots and little gardens here.,Badsey: Viele Cots und Gärtchen hier.,2.445465527621837
826,"Some of the farmers declare that the cots are ‘a great nuisance here, because they bring the poor’.","Einige Pächter erklären die Cots ""a great nuisance here, because they bring the poor"". (Die Cots großer Mißstand, weil sie die Armen herbringen.)",3.709671682050174
827,"In the view of one gentleman: ‘The poor are none the better for them; if you build 500 they will let fast enough, in fact, the more you build, the more they want’ (according to him the houses give birth to the inhabitants, who then by a law of nature put pressure on ‘the means of housing’).","Auf die Äußerung eines Gentleman: ""Die Armen sind deswegen um nichts besser dran; wenn man 500 Cots baut, gehn sie wie die Wecken ab, in der Tat, je mehr man davon baut, desto mehr sind nötig"" - die Häuser bringen nach ihm die Einwohner hervor, die naturgesetzlich auf ""die Mittel der Behausung"" drücken -, bemerkt Dr. Hunter: ""Nun, diese Armen müssen irgendwoher kommen, und da keine besondre Attraktion, wie milde Gaben, in Badsey existiert, muß Repulsion von einem noch unbequemeren Platz existieren, der sie hierhin treibt.",2.826828151763491
828,"Dr Hunter remarks: ‘Now these poor must come from somewhere, and as there is no particular attraction, such as doles, at Badsey, it must be repulsion from some other unfit place, which will send them here.","Könnte jeder ein Cot und ein Stückchen Land in der Nähe seines Arbeitsplatzes finden, so würde er solche sicher Badsey vorziehn, wo er für seine Handvoll Boden zweimal soviel zahlt als der Pächter für den seinen.""",3.5212313995022453
829,"If each could find an allotment near his work, he would not prefer Badsey, where he pays for his scrap of ground twice as much as the farmer pays for his.’* The continual emigration to the towns, the continual formation of a surplus population in the countryside through the concentration of farms, the conversion of arable land into pasture, the introduction of machinery, etc., are things which go hand in hand with the continual eviction of the agricultural population by the destruction of their cottages.","Die beständige Emigration nach den Städten, die beständige ""Überzähligmachung"" auf dem Land durch Konzentration von Pachtungen, Verwandlung von Acker in Weide, Maschinerie usw. und die beständige Eviktion der Landbevölkerung durch Zerstörung der Cottages gehn Hand in Hand.",3.4305122613180536
830,"The more empty the district of people, the greater is its ‘relative surplus population’; the greater their pressure on the means of employment, the greater is the absolute excess of the agricultural population over the means for housing it, and the greater, therefore, is the local surplus population in the villages and the pestilential herding together of human beings.","Je menschenleerer der Distrikt, desto größer seine ""relative Übervölkerung"", desto größer ihr Druck auf die Beschäftigungsmittel, desto größer der absolute Überschuß des Landvolks über seine Behausungsmittel, desto größer also in den Dörfern die lokale Überpopulation und die pestilenzialischste Menschenzusammenpackung.",2.8912160819298958
831,The creation of dense knots of humanity in scattered little villages and small country towns corresponds to the forcible draining of men from the surface of the land.,Die Verdichtung des Menschenknäuels in zerstreuten kleinen Dörfern und Marktflecken entspricht der gewaltsamen Menschenentleerung auf der Oberfläche des Landes.,3.23246796552754
832,"The continuous conversion of the agricultural labourers into a surplus population, in spite of their diminishing number and the increasing mass of their products, is the cradle of pauperism.","Die ununterbrochne ""Überzähligmachung"" der Landarbeiter trotz ihrer abnehmenden Anzahl und mit der wachsenden Masse ihres Produkts ist die Wiege ihres Pauperismus.",2.9736250064115315
833,"The pauperism of the agricultural labourers is ultimately a motive for their eviction; it is also the chief source of their miserable housing, which breaks down their last power of resistance, and makes them mere slaves of the landed proprietors and the farmers. Thus the minimum of wages becomes a law of nature for them.","Ihr eventueller Pauperismus ist ein Motiv ihrer Eviktion und die Hauptquelle ihrer Wohnlichkeitsmisere, welche die letzte Widerstandsfähigkeit bricht und sie zu reinen Sklaven der Grundherrn und Pächter macht, so daß das Minimum des Arbeitslohns sich zum Naturgesetz für sie befestigt.",3.130446042187819
834,"On the other hand, the land, in spite of its constant ‘relative surplus population’, is at the same time under-populated.","Andrerseits ist das Land trotz seiner beständigen ""relativen Übervölkerung"" zugleich untervölkert.",3.4221596261422365
835,"This is not only seen locally, at the points where the flow of men to towns, mines, railway constructions, etc. is most marked. It is to be seen everywhere, at harvest-time as well as in spring and summer, on those numerous occasions when English agriculture, careful and intensive as it is, needs extra hands.","Dies zeigt sich nicht nur lokal auf solchen Punkten, wo der Menschenabfluß nach den Städten, Minen, Eisenbahnbauten usw. zu rasch vorgeht, es zeigt sich überall sowohl zur Erntezeit als im Frühling und Sommer während der zahlreichen Momente, wo die sehr sorgfältige und intensive englische Agrikultur Extrahände braucht.",2.7266582591980097
836,"There are always too many agricultural labourers for the ordinary needs of cultivation, and too few for exceptional and temporary requirements.",Es sind der Landarbeiter stets zu viel für die mittleren und stets zu wenig für die ausnahmsweisen oder temporären Bedürfnisse des Landbaus.,2.88971532931289
837,Hence we find in the official documents contradictory complaints from the same places of a simultaneous deficiency and excess of labour.,Daher findet man in den offiziellen Dokumenten die widerspruchs- volle Klage derselben Orte über gleichzeitigen Arbeitsmangel und Arbeitsüberfluß registriert.,3.1204611818224173
838,"A temporary and local shortage of labour does not bring about a rise in wages, but rather forces the women and children into the fields, and constantly lowers the age at which exploitation begins.","Der temporäre oder lokale Arbeitsmangel bewirkt keine Erhöhung des Arbeitslohns, sondern Pressung von Weibern und Kindern in den Feldbau und Herabsteigen zu stets niedrigeren Altersstufen.",3.026631110464125
839,"As soon as the exploitation of women and children takes place on a large scale, it becomes in turn a new means of making the male agricultural labourer ‘redundant’ and keeping down his wage.","Sobald die Weiber- und Kinderausbeutung größeren Spielraum gewinnt, wird sie ihrerseits ein neues Mittel zur Überzähligmachung des männlichen Landarbeiters und Niederhaltung seines Lohns.",3.1788728444530574
840,"The finest fruit of this vicious circle thrives in the east of England – this is the so-called gang-system, to which I must briefly return here.","Im Osten Englands blüht eine schöne Frucht dieses cercle vicieux <fehlerhaften Kreises> - das sog. Gangsystem (Gang- oder Bandensystem), worauf ich hier kurz zurückkomme.",3.622343731272046
841,"The gang-system obtains almost exclusively in the counties of Lincolnshire, Huntingdonshire, Cambridgeshire, Norfolk, Suffolk and Nottinghamshire, and sporadically in the neighbouring counties of Northamptonshire, Bedfordshire and Rutland.","Das Gangsystem haust fast ausschließlich in Lincolnshire, Huntingdonshire, Cambridgeshire, Norfolk, Suffolk und Nottinghamshire, sporadisch in den benachbarten Grafschaften von Northampton, Bedford und Rutland.",3.0666799452352653
842,Lincolnshire will serve as an example.,Als Beispiel diene hier Lincolnshire.,3.2893621554540426
843,"A large part of this county is new land, formerly marsh, or even, as in others of the eastern counties just mentioned, recently won from the sea.","Ein großer Teil dieser Grafschaft ist neu, früheres Moor oder auch, wie in andren der genannten östlichen Grafschaften, der See erst abgewonnenes Land.",2.943007398953041
844,The steam-engine has worked wonders in the way of drainage.,Die Dampfmaschine hat für die Entwässerung Wunder gewirkt.,3.1826122022884493
845,"What were once fens and sandbanks now bear a luxuriant sea of corn, and very high ground rents.",Früherer Morast und Sandboden trägt jetzt ein üppiges Kornmeer und die höchsten Grundrenten.,3.3571250732309155
846,"The same thing is true of the alluvial lands won by human endeavour, as in the island of Axholme and other parishes on the banks of the Trent.","Dasselbe gilt von dem künstlich gewonnenen Alluvialland, wie in der Insel von Axholme und den andren Pfarreien am Ufer des Trent.",2.7493527140323257
847,"Not only were no new cottages built there but, in proportion as the new farms arose, old cottages were demolished and the supply of labour had to come from ‘open villages’ miles away, by long roads that wound along the sides of the hills.","Im Maß, wie die neuen Pachten entstanden, wurden nicht nur keine neuen Cottages gebaut, sondern alte niedergerissen, die Arbeitszufuhr aber verschafft aus den meilenweit entfernten offnen Dörfern längs den Landstraßen, die an Hügelrücken vorbeischlängeln.",3.121128916825203
